genus_species,AUTHOR,order,suborder,family,year,Rege.Date.Source,Intentional_Release,Host_Group,origin,origin2,PHAGY,Source,Synonym,TSN,Canada.or.US,Confirmed.Establishment,Comment,eradicated
Agrilus aurichalceus,Redtenbacher,Coleoptera,"NA",Buprestidae,1923,"Fisher, W.S. 1928. A revision of the North American species of buprestid beetles belonging to the tribe Chrysobothrini. U.S.D.A. Miscellaneous Publication No. 470, 275 pp.; Nelson, G.H., Westcott, Richard L., and MacRae, T.C. 1996. Miscellaneous notes on Buprestidae and Schizopodidae occurring in the United States and Canada, including descriptions of previously unknown sexes of six Agrilus Curtis (Coleoptera). The Coleopterists Bulletin, 50(2): 183-191.",N,"NA",Palearctic(Europe),"NA",Plant feeder (stem borer),http://entomology.unl.edu/ornamentals/pestprofiles/flatheaded_borers.shtml,"NA","NA","NA","NA","NA",NA
Agrilus coeruleus,Rossi,Coleoptera,"NA",Buprestidae,1920,"NA","NA",fruit trees: food crops and vegetables,Palearctic(Europe),"NA","NA",NANIAD,Agrilus cyanescens,"NA","NA","NA","NA",NA
Agrilus derasofasciatus,LacordaireandBoisd.,Coleoptera,"NA",Buprestidae,1939,"NA",N,"NA","NA","NA",Plant-feeder,http://www.omnilexica.com/?q=Agrilus+derasofasciatus,"NA","NA","NA","NA","NA",NA
Agrilus hyperici,(Creutzer),Coleoptera,"NA",Buprestidae,1950,"NA",I,fruit trees: food crops and vegetables,Palearctic(Europe),"NA",Plant-feeder (Feeds on the roots of St. John's wort - Hyperici peroratum and H. montanum and H. concinnum in California),"http://mtwow.org/Agrilus-hyperici.html, Ag handbook 480 pg. 389","NA","NA","NA","NA","NA",NA
Agrilus pilosivittaus,Saunders,Coleoptera,"NA",Buprestidae,"NA","NA",N,fruit trees: food crops and vegetables,Palearctic(Asia),"NA",Plant-feeder,http://bugguide.net/node/view/248891,"NA","NA","NA","NA","NA",NA
Agrilus planipennis,Fairmaire,Coleoptera,"NA",Buprestidae,2002,http://www.invasivespeciesinfo.gov/animals/eab.shtml,N,Feeds on Rhododendron,Palearctic(Asia),"NA",Plant-feeder,http://www.invasivespeciesinfo.gov/animals/eab.shtml,"NA","NA","NA","NA","NA",NA
Agrilus prionurus,Chevrolat,Coleoptera,"NA",Buprestidae,2003,"NA",N,fruit trees: food crops and vegetables,Neotropic,"NA",Plant-feeder,http://texasinvasives.org/resources/publications/TFS_Soapberry_Borer.pdf,"NA","NA","NA","NA","NA",NA
Agrilus sinuatus,(Olivier),Coleoptera,"NA",Buprestidae,1894,"NA",N,fruit trees: food crops and vegetables,Palearctic(Europe),"NA",Plant-feeder (makes tunnels in tree cambium),http://bugguide.net/node/view/462856,"NA","NA","NA","NA","NA",NA
Agrilus smaragdifrons,Ganglbauer,Coleoptera,"NA",Buprestidae,2015,"NA",N,"NA",Palearctic(Asia),"NA",Plant-feeder (makes tunnels in tree cambium),"Hoebeke, E. R., Jendek, E., Zablotny, J. E., Rieder, R., Yoo, R., Grebennikov, V. V., & Ren, L. (2017). First North American Records of the Eastasian Metallic Wood-Boring Beetle Agrilus smaragdifrons Ganglbauer (Coleoptera: Buprestidae: Agrilinae), a Specialist on Tree of Heaven (Ailanthus altissima, Simaroubaceae). Proceedings of the Entomological Society of Washington, 119(3), 408-422.","NA","NA","NA","NA","NA",NA
Agrilus subrobustus,Saunders,Coleoptera,"NA",Buprestidae,2006,"Hoebeke, E. Richard, et.al., 2009. First North American records of the east palearctic seed beetle Bruchidius terrenus (Coleoptera: Chrysomelidae: Bruchinae), a specialist on Mimosa (Albizia Julibrissin, Fabaceae), Florida Entomologist 92(3): 434-440.","NA","NA",Palearctic(Asia),"NA",Plant-feeder,"Hoebeke, E. Richard, et.al., 2009. First North American records of the east palearctic seed beetle Bruchidius terrenus (Coleoptera: Chrysomelidae: Bruchinae), a specialist on Mimosa (Albizia Julibrissin, Fabaceae), Florida Entomologist 92(3): 434-440.","NA","NA","NA","NA","NA",NA
Agrilus sulcicollis,Lacordaire,Coleoptera,"NA",Buprestidae,2003,"NA",N,fruit trees: food crops and vegetables,"NA","NA",Plant-feeder,http://bugguide.net/node/view/359112,"NA","NA","NA","NA","NA",NA
Agriotes lineatus,(Linnaeus),Coleoptera,"NA",Elateridae,2000,"NA","NA",lombardy poplar,Palearctic(Asia) Palearctic(Europe),"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Agriotes obscurus,Linnaeus,Coleoptera,"NA",Elateridae,1923,"NA","NA",fruit trees: food crops and vegetables,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Agriotes sputator,Linnaeus,Coleoptera,"NA",Elateridae,1939,"NA","NA",fruit trees: food crops and vegetables,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Agrochola lota,(Clerck),Lepidoptera,"NA",Noctuidae,"NA","NA","NA","NA",Palearctic(Europe),"NA","NA","Langor DW DeHaas LJ Foottit RG (2009) Diversity of non-native terrestrial arthropods on woody plants in Canada. Ecological Impacts of Non-Native Invertebrates and Fungi on Terrestrial Ecosystems. Springer Netherlands, 2009. 5-19.
http://en.wikipedia.org/wiki/Agrochola_lota","NA","NA","NA","NA","NA",NA
Agromyza frontella,Rondani,Diptera,"NA",Agromyzidae,1968,"NA","NA","NA",Palearctic(Europe),"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Agromyza lacteipennis,Fallen,Diptera,"NA",Agromyzidae,1899,"Ashmead, William H., Coquillett, D. W., Kincaid, Trevor, and Pergande, Theo. 1910. Harriman Alaska Expedition Series, Alaska Volume IX, Insects Part II; City of Washington; Published by The Smithsonian Institution.","NA","NA",Palearctic(Europe),"NA","NA","Ashmead, William H., Coquillett, D. W., Kincaid, Trevor, and Pergande, Theo. 1910. Harriman Alaska Expedition Series, Alaska Volume IX, Insects Part II; City of Washington; Published by The Smithsonian Institution.","NA","NA","NA","NA","NA",NA
Agrypon flaveolatum,(Gravenhorst),Hymenoptera,"NA",Ichneumonidae,1954,"NA",I,Aphidinae: parasitic on most species of aphidinae: on Myzus-Brachycaudus series and: occasionally on Macrosiphum: Dactynotus and related genera.,Palearctic(Europe),"NA",Parasite,"Roland and Embree (1995) Biological control of the winter moth. Annual Review of Entomology 40: 475-492
ROBO 1981, Pub.1464, pg. 11","NA","NA","NA","NA","NA",NA
Agryresthia conjugella,Zeller,Lepidoptera,"NA",Argyresthiidae,1897,"NA","NA","NA",Palearctic(Europe),"NA","NA",Mattson (1994) Immigrant phytophagous insects: an Annotated List. pp. 27 USDA NC For. Exp. Station,"NA","NA","NA","NA","NA",NA
Aguriahana stellulata,(Burmeister),Hemiptera,Auchenorrhyncha,Cicadellidae,1920,"NA","NA","NA",Palearctic(Europe),"NA","NA",Mattson (1994) Immigrant phytophagous insects: an Annotated List. pp. 27 USDA NC For. Exp. Station,"NA","NA","NA","NA","NA",NA
Alabama argillacea,Hubner,Lepidoptera,"NA",Noctuidae,"NA","Frank, J. Howard and Earl D. McCoy, 1993. The Introduction of insects to Florida, Florida Entomologist 76(1): 1-53.","NA","NA",Neotropic,"NA","NA","Frank, J. Howard and Earl D. McCoy, 1993. The Introduction of insects to Florida, Florida Entomologist 76(1): 1-53.","NA","NA","NA","NA","NA",NA
Alaptus aurantia,(Mercet),Hymenoptera,"NA",Mymaridae,1967,"NA","NA","NA","NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Alebra wahlbergi,"NA",Hemiptera,Auchenorrhyncha,Cicadellidae,1919,"Hamilton, K.G.A. 1995. Revision of Alebra Fieber in the New World (rhynchota: Homoptera: Cicadellidae), Journal of the Kansas Entomological Society 68(1): 103-115.","NA","NA",Palearctic(Europe),"NA","NA",BugGuide,"NA","NA","NA","NA","NA",NA
Aleiodes indiscretus,Reardon,Hymenoptera,"NA",Braconidae,1994,"Schroder, Robert F. W.; Sidor, Anne M. 1997. Establishment of Aleiodes (=Rogas) indiscretus (Hymenoptera: Braconidae), an introduced parasite of the gypsy moth in North America; Entomological News 108(2): 148-150.","NA","NA",Palearctic(Asia) Indomalaya,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aleochara bilineata,Gyllenhal,Coleoptera,"NA",Staphylinidae,1870,"Majka, Christopher G. and Jan Klimaszewski. 2008. Introduced Staphylinidae (Coleoptera) in the maritime provinces of Canada. Can. Entomol. 140: 48-72.; Klimaszewski, J. 1984. A revision of the genus Aleochara Gravenhorst of America north of Mexico (Coleoptera: Staphylinidae, Aleocharinae). Memoirs of the Entomological Society of Canada, 129: 1-211.","NA",Stem miner in water hyacinth,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aleochara bimaculata,Gravenhorst,Coleoptera,"NA",Staphylinidae,1912,"NA","NA",yaws,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aleochara curtula,(Goeze),Coleoptera,"NA",Staphylinidae,1926,"Klimaszewski, Jan 1984. A revision of the genus Aleochara Gravenhorst of America north of Mexico (Coleoptera: Staphylinidae, Aleocharinae). Memoirs of the Entomological Society of Canada --- No. 129; 211 pp.","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aleochara fumata,Gravenhorst,Coleoptera,"NA",Staphylinidae,1906,"Majka, Christopher G. and Jan Klimaszewski. 2008. Introduced Staphylinidae (Coleoptera) in the maritime provinces of Canada. Can. Entomol. 140: 48-72.; Klimaszewski, J. 1984. A revision of the genus Aleochara Gravenhorst of America north of Mexico (Coleoptera: Staphylinidae, Aleocharinae). Memoirs of the Entomological Society of Canada, 129: 1-211.","NA",food crops and vegetables: forage crops and grasses,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aleochara fuscipes,Linnaeus,Coleoptera,"NA",Staphylinidae,1926,"Klimaszewski, Jan 1984. A revision of the genus Aleochara Gravenhorst of America north of Mexico (Coleoptera: Staphylinidae, Aleocharinae). Memoirs of the Entomological Society of Canada --- No. 129; 211 pp.","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aleochara langinosa,Gravenhorst,Coleoptera,"NA",Staphylinidae,1930,"NA","NA",Any warm-blooded organism.,Palearctic(Europe),"NA","NA",NANIAD,Aleochara lanuginosa,"NA","NA","NA","NA",NA
Aleochara lata,Gravenhorst,Coleoptera,"NA",Staphylinidae,1967,"Klimaszewski, Jan 1984. A revision of the genus Aleochara Gravenhorst of America north of Mexico (Coleoptera: Staphylinidae, Aleocharinae). Memoirs of the Entomological Society of Canada --- No. 129; 211 pp.","NA",Any warm blooded organism,Palearctic(Asia) Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aleochara longicornis,Gravenhorst,Coleoptera,"NA",Staphylinidae,1984,"Klimaszewski, J. et.al. 2007. Records of adventive aleocharine beetles (Coleoptera: Staphylinidae: Aleocharinae) found in Canada. Can. Entomol. 139: 54-79.","NA","NA",Palearctic(Asia) Palearctic(Europe),"NA","NA","Klimaszewski, J. et.al. 2007. Records of adventive aleocharine beetles (Coleoptera: Staphylinidae: Aleocharinae) found in Canada. Can. Entomol. 139: 54-79.",Atheta longicornis,"NA","NA","NA","NA",NA
Aleochara moerens,Gyllenhal,Coleoptera,"NA",Staphylinidae,1912,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aleochara morion,Gravenhorst,Coleoptera,"NA",Staphylinidae,1929,"NA","NA",humans,Palearctic(Europe),"NA","NA",NANIAD,Tinotus morion,"NA","NA","NA","NA",NA
Aleochara puberula,Klug,Coleoptera,"NA",Staphylinidae,1975,"Frank, J.H. and McCoy, E.D. 1992. The Behavioral Ecology of Immigration: The Immigration of Insects to Florida, with a Tabulation of Records Published since 1970. Florida Entomologist 75(1): 1-28. Klimaszewski, J. 1984. A revision of the genus Aleochara Gravenhorst of America north of Mexico (Coleoptera: Staphylinidae, Aleocharinae) Mem. Ent. Soc. Canada 129: [i-iv +] 1-129.","NA","NA",Neotropic Indomalaya Afrotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Aleochara suffusa,(Casey),Coleoptera,"NA",Staphylinidae,"NA","NA","NA",birds: humans - food source,Palearctic(Europe) Palearctic(Asia),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aleochara tristis,Gravenhorst,Coleoptera,"NA",Staphylinidae,1966,"Klimaszewski, J., Cervenka, V.J. Entomological News: A revision of the genus Aleochara Coleoptera, Staphylinidae of North America. 3. New distribution data.  97(3): 120.  Klimaszewski, J. 1984. A revision of the genus Aleochara Gravenhorst of America north of Mexico (Coleoptera: Staphylinidae, Aleocharinae). Memoirs of the Entomological Society of Canada, 129: 1-211.",I,"NA",Palearctic(Europe),"NA",Larval parasite,Ag Handbook 480 pg. 355,"NA","NA","NA","NA","NA",NA
Aleochara verna,Say,Coleoptera,"NA",Staphylinidae,1836,"Annual report of the Agricultural Experiment Station; Cornell University, College of Agriculture, Ithaca, N.Y. Bulletin 78. 1894. pg. 518.","NA","NA",Palearctic(Europe) Palearctic(Asia),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aleochara vestita,Gravenhorst,Coleoptera,"NA",Staphylinidae,2003,"Klimaszewski, J. et.al. 2007. Records of adventive aleocharine beetles (Coleoptera: Staphylinidae: Aleocharinae) found in Canada. Can. Entomol. 139: 54-79.","NA","NA",Palearctic(Europe),"NA","NA","Klimaszewski, J. et.al. 2007. Records of adventive aleocharine beetles (Coleoptera: Staphylinidae: Aleocharinae) found in Canada. Can. Entomol. 139: 54-79.","NA","NA","NA","NA","NA",NA
Aleochara villosa,Mannerheim,Coleoptera,"NA",Staphylinidae,1967,"Klimaszewski, Jan 1984. A revision of the genus Aleochara Gravenhorst of America north of Mexico (Coleoptera: Staphylinidae, Aleocharinae). Memoirs of the Entomological Society of Canada --- No. 129; 211 pp.","NA",fruit trees,Palearctic(Asia) Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aleurocanthus woglumi,Ashby,Hemiptera,Sternorrhyncha,Aleyrodidae,1976,"Frank, J.H. and McCoy, E.D. 1992. The Behavioral Ecology of Immigration: The Immigration of Insects to Florida, with a Tabulation of Records Published since 1970. Florida Entomologist 75(1): 1-28","NA","NA",Neotropic,"NA","NA",Smith (1964) Biological control of the citrus blackfly in Mexico. USDA-ARS. Technical Bulletin No. 1311: 1-30,"NA","NA","NA",N,"NA",NA
Aleuroclava similis,Takahashi,Hemiptera,Sternorrhyncha,Aleyrodidae,1948,"NA","NA","NA",Palearctic(Asia),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aleurodicus dispersus,Russell,Hemiptera,Sternorrhyncha,Aleyrodidae,1950,"Frank, J.H. and M.C. Thomas. 2013. Invasive insects (adventive pest insects) in Florida. Publication #ENY-827; 10 pp.","NA","NA",Neotropic,"NA","NA",http://www.extento.hawaii.edu/kbase/crop/Type/a_disper.htm,"NA","NA","NA","NA","NA",NA
Aleurodicus dugesii,"NA",Hemiptera,Sternorrhyncha,Aleyrodidae,1992,"NA","NA","NA",Neotropic,"NA","NA",BugGuide,"NA","NA","NA","NA","NA",NA
Aleurodicus rugioperculatus,"NA",Hemiptera,Sternorrhyncha,Aleyrodidae,2009,"NA","NA","NA",Neotropic,"NA","NA","Taravati, S., Mannion, C., & Osborne, L. S. (2013). Management of rugose spiraling whitefly (Aleurodicus rugioperculatus) in the South Florida landscape.  Proceedings of the Florida State Horticultural Society. 126: 276-278.","NA","NA","NA","NA","NA",NA
Aleuroplatus cococolus,"NA",Hemiptera,Sternorrhyncha,Aleyrodidae,2011,"NA","NA","NA","NA","NA","NA",Sandy,"NA","NA","NA","NA","NA",NA
Aleuropteryx juniperi,Ohm,Neuroptera,"NA",Aleuropteryginae,1968,"Hoebeke, E. Richard, and A.G. Wheeler, Jr. 1983. Exotic insects reported new to northeastern United States and eastern Canada since 1970. Journal of the New York Entomological Society 91(3): 193-222.; Henry, T.J. 1974. U.S. Dept. Agric., Coop. Econ. Ins. Rep. 24(33): 659; Anonymous. 1974.  U.S. Dept. Agric., Coop. Econ. Ins. Rep. 24(35): 703.; Henry, T.J. 1976. Aleuropteryx juniperi: a European scale predator established in North America (Neuroptera: Coniopterygidae). Proc. Entomol. Soc. Washington 78: 195-201.","NA","NA",Palearctic(Europe),"NA","NA",Hoebeke and Wheeler (1983) Exotic insects reported new to northeastern United States and eastern Canada since 1970. New York Entomological Society 91 193-222,"NA","NA","NA","NA","NA",NA
Aleurothrixus floccosus,(Maskell),Hemiptera,Sternorrhyncha,Aleyrodidae,1966,"Dowell, Robert V. and Raymond Gill. 1989. Exotic invertebrates and their effects on California. Pan-Pacific Entomologist 65(2): 132-145.","NA","NA",Neotropic,"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Aleurotuba jelenekii,(Frauenfeld),Hemiptera,Sternorrhyncha,Aleyrodidae,1916,"NA","NA","NA",Palearctic(Europe),"NA","NA",Aukema,"NA","NA","NA","NA","NA",NA
Aleurotulus anthuricola,Nakahara,Hemiptera,Sternorrhyncha,Aleyrodidae,1978,"NA","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Aleurotulus nephrolepidis,(Quaintance),Hemiptera,Sternorrhyncha,Aleyrodidae,1898,"NA","NA","NA",Neotropic,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Aleyrodes azaleae,BakerandMoles,Hemiptera,Sternorrhyncha,Aleyrodidae,1910,"NA","NA",textile fiberfurskindrug and biological dried-specimens,Palearctic(Europe),"NA","NA",NANIAD,Pealius azaleae,"NA","NA","NA","NA",NA
Aleyrodes lonicerae,"NA",Hemiptera,Sternorrhyncha,Aleyrodidae,2012,"NA","NA","NA",Palearctic(Europe),"NA","NA","Stocks, I. C. (2012). The honeysuckle whitefly, Aleyrodes lonicerae Walker, new to Florida and the United States. Pest Alert. Florida Department of Agriculture and Consumer Services, Division of Plant Industry. https://freshfromflorida.s3.amazonaws.com/aleyrodes-lonicerae.pdf","NA","NA","NA","NA","NA",NA
Aleyrodes proletella,(Linnaeus),Hemiptera,Sternorrhyncha,Aleyrodidae,1990,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Allantus basalis,(Klug),Hymenoptera,"NA",Tenthredinidae,1911,"NA","NA",ornamental plants and flowers: forest trees,Palearctic(Asia)  Palearctic(Europe),"NA","NA",Mattson (1994) Immigrant phytophagous insects: an Annotated List. pp. 27 USDA NC For. Exp. Station,"NA","NA","NA","NA","NA",NA
Allantus cinctus,(Linnaeus),Hymenoptera,"NA",Tenthredinidae,1867,"Krombein, Karl V. et.al. 1979. Catalog of Hymenoptera in America North of Mexico. Vol 1.  Smithsonian Institution Press.; Amer. Ent. Soc., Trans. 1: 229.","NA",ornamental plants and flowers: forest trees,Palearctic(Europe),"NA","NA",Mattson (1994) Immigrant phytophagous insects: an Annotated List. pp. 27 USDA NC For. Exp. Station,"NA","NA","NA","NA","NA",NA
Allantus nigritibialis,Rohwer,Hymenoptera,"NA",Tenthredinidae,1911,"Krombein, Karl V. et.al. 1979. Catalog of Hymenoptera in America North of Mexico. Vol 1.  Smithsonian Institution Press.; U.S. Natl. Mus., Proc. 41: 407.","NA",ornamental plants and flowers: forest trees,Palearctic(Europe),"NA","NA",Mattson (1994) Immigrant phytophagous insects: an Annotated List. pp. 27 USDA NC For. Exp. Station,"NA","NA","NA","NA","NA",NA
Allantus viennensis,(Schrank),Hymenoptera,"NA",Tenthredinidae,1967,"Hoebeke, E. Richard, and A.G. Wheeler, Jr. 1983. Exotic insects reported new to northeastern United States and eastern Canada since 1970. Journal of the New York Entomological Society 91(3): 193-222.; Smith, D.R. 1975. A rose sawfly new to North America (Hymenoptera: Tenthredinidae). U.S. Dept. Agric., Coop. Econ. Ins. Rep. 25(10): 163-165. (first U.S. record).","NA",forest trees: ornamental plants and flowers,Palearctic(Europe),"NA","NA",Mattson (1994) Immigrant phytophagous insects: an Annotated List. pp. 27 USDA NC For. Exp. Station,"NA","NA","NA","NA","NA",NA
Allorhogas pallidiceps,(Perkins),Hymenoptera,"NA",Braconidae,1973,"Krombein, Karl V. et.al. 1979. Catalog of Hymenoptera in America North of Mexico. Vol 1.  Smithsonian Institution Press. Wash. Acad. Sci. Jour. 63: 69.","NA","NA",Palearctic(Asia)  Palearctic(Asia)  Afrotropic,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Allorhogas pyralophagus,Marsh,Hymenoptera,"NA",Braconidae,1984,"NA","NA","NA",Neotropic,"NA","NA",Overholt and Smith (1990) Colonization of Six Exotic Parasites (Hymenoptera) Against Diatraea grandiosella (Lepidoptera: Pyralidae) in Corn. Environ Entomol 19: 1889-1902,"NA","NA","NA","NA","NA",NA
Allotropa burrelli,Muesebeck,Hymenoptera,"NA",Platygastridae,1939,"NA",I,"NA",Palearctic(Asia),"NA",Parasite,"Clausen (1956) Biological Control of Insect Pests in the Continental United States U.S. Dept. of Agriculture Washington D. C.
Ag Handbook 480 pg. 158, 159, 160","NA","NA","NA","NA","NA",NA
Allotropa citri,Muesebeck,Hymenoptera,"NA",Platygastridae,1950,"USDA, ARS 1963. Research on controlling insects without conventional insecticides, ARS 22-85, 23 pp.",I,"NA",Palearctic(Asia),"NA","NA","USDA, ARS 1963. Research on controlling insects without conventional insecticides, ARS 22-85, 23 pp.","NA","NA","NA","NA","NA",NA
Allotropa convexifrons,Muesebeck,Hymenoptera,"NA",Platygastridae,1939,"NA",N,"NA",Palearctic(Asia),"NA",Parasite,Clausen (1978) Introduced parasites and predators of arthropod pests and weeds: a world review. Agriculture Handbook United States Department of Agricultre (480). pg. 158,"NA","NA","NA","NA","NA",NA
